日期,證券代號,股票名稱,買超張數
2018/3/6,2330,台積電,"15,089,413"
2018/3/6,2303,聯電,"8,919,869"
2018/3/6,2888,新光金,"7,207,000"
2018/3/6,2311,日月光,"6,268,637"
2018/3/6,2474,可成,"4,731,235"
2018/3/6,2337,旺宏,"3,749,918"
2018/3/6,2353,宏碁,"3,292,000"
2018/3/6,2884,玉山金,"2,714,000"
2018/3/6,2399,映泰,"2,602,000"
2018/3/6,2823,中壽,"2,506,000"
2018/3/7,00637L,元大滬深300正2,"19,349,000"
2018/3/7,2915,潤泰全,"8,477,394"
2018/3/7,2303,聯電,"6,256,000"
2018/3/7,00633L,富邦上証正2,"6,137,000"
2018/3/7,2311,日月光,"5,611,137"
2018/3/7,2377,微星,"4,929,092"
2018/3/7,2890,永豐金,"4,448,903"
2018/3/7,2885,元大金,"3,876,815"
2018/3/7,00655L,國泰中國A50正2,"3,831,000"
2018/3/7,2371,大同,"3,811,000"
2018/3/8,2303,聯電,"49,269,000"
2018/3/8,2409,友達,"18,726,939"
2018/3/8,2311,日月光,"10,077,897"
2018/3/8,2344,華邦電,"7,679,000"
2018/3/8,2337,旺宏,"6,249,701"
2018/3/8,2408,南亞科,"4,816,776"
2018/3/8,2352,佳世達,"3,695,000"
2018/3/8,1605,華新,"2,769,831"
2018/3/8,2886,兆豐金,"2,729,000"
2018/3/8,2481,強茂,"2,691,000"
2018/3/9,2337,旺宏,"22,493,298"
2018/3/9,2303,聯電,"13,547,598"
2018/3/9,2353,宏碁,"8,256,000"
2018/3/9,3231,緯創,"5,956,106"
2018/3/9,2890,永豐金,"5,684,000"
2018/3/9,2880,華南金,"4,362,400"
2018/3/9,2311,日月光,"3,611,550"
2018/3/9,6120,達運,"3,025,000"
2018/3/9,2474,可成,"2,754,390"
2018/3/9,2449,京元電子,"2,698,200"
2018/3/12,2317,鴻海,"36,414,803"
2018/3/12,3231,緯創,"32,322,796"
2018/3/12,2311,日月光,"15,000,410"
2018/3/12,2882,國泰金,"14,383,000"
2018/3/12,2883,開發金,"10,792,000"
2018/3/12,2881,富邦金,"10,623,000"
2018/3/12,2890,永豐金,"9,496,000"
2018/3/12,2303,聯電,"8,674,665"
2018/3/12,5871,中租-KY,"6,994,305"
